# frequency  PSD
3.469230769230769451e-01 8.240088470180459458e-15
3.470085470085469970e-01 8.259670336631243958e-15
3.470940170940171043e-01 8.280583552823121270e-15
3.471794871794871562e-01 8.305336457160197006e-15
3.472649572649572636e-01 8.328576125030353045e-15
3.473504273504273709e-01 8.361094022868661534e-15
3.474358974358974228e-01 8.381125419619207975e-15
3.475213675213675302e-01 8.398309021695620985e-15
3.476068376068375820e-01 8.406437201419130689e-15
3.476923076923076894e-01 8.406517336198177621e-15
3.477777777777777968e-01 8.466992257649514326e-15
3.478632478632478486e-01 8.490840448215057498e-15
3.479487179487179560e-01 8.502220621302585489e-15
3.480341880341880079e-01 8.517142680390646779e-15
3.481196581196581152e-01 8.530653420517644275e-15
3.482051282051282226e-01 8.541020127425031857e-15
3.482905982905982745e-01 8.582788969042218108e-15
3.483760683760683818e-01 8.597495000576542828e-15
3.484615384615384337e-01 8.641733327085400642e-15
3.485470085470085411e-01 8.648993276794960252e-15
3.486324786324786484e-01 8.666895967680717006e-15
3.487179487179487003e-01 8.714473510719932548e-15
3.488034188034188077e-01 8.735543881264484116e-15
3.488888888888889150e-01 8.759679536680596043e-15
3.489743589743589669e-01 8.766272325436886879e-15
3.490598290598290743e-01 8.782873458735790483e-15
3.491452991452991261e-01 8.786081971206056125e-15
3.492307692307692335e-01 8.878378742745809400e-15
3.493162393162393409e-01 8.927241906712530190e-15
3.494017094017093927e-01 8.935668700185927953e-15
3.494871794871795001e-01 8.996798232595909412e-15
3.495726495726495520e-01 9.019245081002431658e-15
3.496581196581196593e-01 9.077936477026339901e-15
